Entity,region,Code,Year,Year of smallpox eradication (WHO (1988))
Switzerland,Europe and Central Asia,CHE,0,1926
Syria,Middle East and North Africa,SYR,0,1950
Tajikistan,Europe and Central Asia,TJK,0,1936
Tanzania,Sub-Saharan Africa,TZA,0,1970
Thailand,East Asia and Pacific,THA,0,1962
Togo,Sub-Saharan Africa,TGO,0,1969
Tunisia,Middle East and North Africa,TUN,0,1948
Turkey,Europe and Central Asia,TUR,0,1951
Turkmenistan,Europe and Central Asia,TKM,0,1936
Uganda,Sub-Saharan Africa,UGA,0,1968
Ukraine,Europe and Central Asia,UKR,0,1936
United Kingdom,Europe and Central Asia,GBR,0,1934
United States,North America,USA,0,1948
Uruguay,Latin America and Caribbean,URY,0,1957
Uzbekistan,Europe and Central Asia,UZB,0,1936
Venezuela,Latin America and Caribbean,VEN,0,1956
Vietnam,East Asia and Pacific,VNM,0,1959
Yemen,Middle East and North Africa,YEM,0,1960
Zambia,Sub-Saharan Africa,ZMB,0,1968
Zimbabwe,Sub-Saharan Africa,ZWE,0,1970
